keys,en,de,ru
HLA-NoVR-Launcher,Half-Life: Alyx NoVR Launcher,
PRIMARY_ATTACK,Primary Attack,Primärer Angriff,Основная атака
SECONDARY_ATTACK,Secondary Attack,Sekundärer Angriff,Вторичная атака
TERTIARY_ATTACK,Tertiary Attack,Tertiärer Angriff,Третичная атака
GRENADE,Grenade,Granate,Граната
RELOAD,Reload,Nachladen,Перезарядка
QUICK_SWAP,Quick Swap,Schneller Wechsel,Быстрая смена оружия 
MOVE_FORWARD,Move Forward,Vorwärts Bewegen,Двигаться вперёд
MOVE_BACK,Move Backward,Rückwärts Bewegen,Двигаться назад
MOVE_LEFT,Move Left,Links Bewegen,Двигаться влево
MOVE_RIGHT,Move Right,Rechts Bewegen,Двигаться вправо
JUMP,Jump,Springen,Прыжок
CONSOLE,Console,Konsole,Консоль
CROUCH,Crouch,Ducken,Присесть
SPRINT,Sprint,Sprinten,Бег
INTERACT,Interact,Interagieren,Взаимодействие
FLASHLIGHT,Flashlight,Taschenlampe,Фонарик
COVER_MOUTH,Cover Mouth,Mund Verdecken,Прикрыть рот
QUICK_SAVE,Quick Save,Schnell Speichern,Быстрое сохранение
QUICK_LOAD,Quick Load,Schnell Laden,Быстрая загрузка
NOCLIP,Noclip,Noclip,Noclip
VIEWM_INSPECT,Inspect Weapon,Waffe Inspizieren,Осмотреть оружие
ZOOM,Zoom,Zoom,Увеличение
USE_HEALTHPEN,Use Health Pen,Gesundheitsstift Benutzen,Использовать шприц со здоровьем
DROP_ITEM,Drop Item,Gegenstand Fallen Lassen,Бросить
UNEQUIP_WEARABLE,Unequip Wearable,Tragbares Fallen Lassen,Скинуть вещь
